# 東東京: 1974年以降の選手権東東京大会 + 1973年以前の東京大会(東西共通で両ランキングに算入)
# 単独開催のみ収録(関東・京浜・神静・甲神静・南関東大会の年は対象外)。1923-30年はリーグ戦等のため優勝(・準優勝)のみ
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1915,,早稲田実,荏原中,日本中,早稲田中,慶応普通部,立教中,成城中,麻布中,8,5
1923,,早稲田実,,,,,,,,,
1924,,早稲田実,,,,,,,,,
1925,,早稲田実,目白中,,,,,,,6,2
1926,,早稲田実,慶応商工,,,,,,,14,1
1927,,早稲田実,麻布中,,,,,,,8,2
1928,,早稲田実,早稲田中,,,,,,,8,0
1929,,慶応商工,慶応普通部,,,,,,,8,4
1930,,慶応普通部,早稲田実,,,,,,,2,0
1931,,早稲田実,明治学院,日大三中,慶応商工,日大一中,大成中,成城中,学習院,7,0
1932,,早稲田実,慶応商工,慶応普通部,日大三中,暁星中,東京中,学習院,成城中,10,2
1933,,慶応商工,日大三中,早稲田実,東京高師付中,慶応普通部,豊島師範,暁星中,学習院,3,0
1934,,早稲田実,日大三中,慶応商工,慶応普通部,暁星中,豊島師範,府化学工,東京高師付中,8,2
1935,,早稲田実,日大三中,豊島師範,慶応商工,京北実,麻布中,攻玉社中,日大一中,7,2
1936,,早稲田実,日大一中,豊島師範,府化学工,慶応商工,目白商,日大三中,暁星中,28,5
1937,,慶応商工,目白商,府化学工,東京高師付中,日大三中,立教中,早稲田実,慶応普通部,10,2
1938,,日大三中,慶応商工,豊島師範,東京高師付中,府化学工,早稲田実,帝京商,早稲田中,4,2
1939,,帝京商,日大三中,早稲田実,東京高師付中,目白商,豊島師範,府一中,早稲田中,9,6
1940,,日大三中,豊島師範,府化学工,早稲田実,府一中,東京高師付中,東京中,目白商,5,4
1945,,帝京商,京王商,府一中,日大三中,早稲田実,府化学工,東京高師付中,早稲田中,14,0
1946,,東京高師付中,都一中,都二中,慶応普通部,慶応商工,成城中,都五中,早稲田中,3,2
1947,,慶応商工,東京高師付中,都一中,青山学院,豊島中,日大三中,日大二中,明治中,5,3
1948,,慶応,明治,日大三,早稲田実,都立一,青山学院,立教,麻布,4,2
1949,,慶応,都立八,早稲田実,国立,小金井,海城,都立二,立教,9,0
1950,,明治,早稲田実,錦城,日大二,麻布,攻玉社,都二商,久我山,7,0
1951,,早稲田実,荏原,明治,日大三,成城,江戸川,日大二,早大学院,3,2
1952,,日大三,立教,法政一,早稲田実,東洋商,都二商,東京教大付,成蹊,13,0
1953,,明治,荏原,帝京商,日大三,立教,帝京,東京教大付,国学院久我山,1,0
1954,,早稲田実,荏原,日大三,早大学院,東工大付工,麻布,日大二,都四商,7,0
1955,,日大三,日大二,早稲田実,海城,法政一,立教,早大学院,荏原,8,1
1956,,早稲田実,成蹊,明治,日大三,東洋商,荏原,立川,法政一,13,1
1957,,早稲田実,日大一,法政一,日大三,京王,中大杉並,日大二,葛飾野,11,0
1958,,明治,早稲田実,日大二,帝京商,桐朋,足立,法政一,日大三,6,5
1959,,日大二,荏原,日大三,法政一,帝京商,都五商,早稲田実,明大中野,7,2
1960,,早稲田実,法政一,明治,帝京商,日大二,桜美林,荏原,都五商,4,0
1961,,法政一,帝京商,八王子工,明治,日大二,荏原,専大京王,都五商,2,1
1962,,日大三,修徳,帝京商工,都五商,石神井,法政一,荏原,早稲田実,2,0
1963,,日大一,明大中野,明治,荏原,日大三,日大二,早稲田実,法政一,4,1
1964,,修徳,早稲田実,荏原,日大二,中央商,日大一,明治,法政一,5,1
1965,,日大二,日大三,荏原,日大鶴ヶ丘,岩倉,早稲田実,帝京,中央商,2,0
1966,,修徳,日大三,早稲田実,中大付,日大二,日大桜丘,堀越,桜美林,9,7
1967,,堀越,帝京商工,日大三,荏原,修徳,早稲田実,日大一,日大桜丘,7,1
